Id,ÐÔ×´1,ÐÔ×´2,blueref,greenref,redref,rededgeref,NIRref,GIgreen,CIre,DVI,EVI,ExG,GBNDVI,GNDVI,MEVI,MSR,MTCI,MTVI2,NDVI,NDRE,NGRDI,NIRRENDVI,NPCI,PSRI,REDVI,RENDVI,RERVI,RGRI,RVI,TCVI,SARE,SAVI,LCI,OSAVI
1,132.46,55,0.11533993,0.25522167,0.088475813,0.429116123,0.497272729,0.948395403,0.158830213,0.408796915,0.878696158,0.667979533,0.146008431,0.321664931,0.078965133,0.108099547,0.200083793,-0.123549298,0.697905135,0.07357235,0.485152975,0.679243842,-0.131805895,-0.054022903,0.068156605,0.658125225,1.158830213,0.346662622,5.620436928,-0.826133399,0.30793714,0.739138652,0.116358131,0.548169916
10,118.98,43.4,0.144104457,0.297058193,0.114274088,0.43800093,0.499950282,0.683004525,0.141436577,0.385676194,0.872719541,0.604457387,0.062466077,0.254567042,0.081511473,0.096651618,0.191363039,-0.092766869,0.62790767,0.066047521,0.44437092,0.608146941,-0.115452189,-0.05966667,0.061949352,0.586169627,1.141436577,0.384685867,4.375010021,-1.929828251,0.302148061,0.696268593,0.100857855,0.498145251
11,126.14,47.6,0.128339513,0.250057606,0.096938905,0.387965464,0.449631476,0.798111577,0.158947168,0.352692571,0.825036133,0.578194752,0.086028862,0.28523222,0.081054501,0.108176217,0.211891355,-0.093837244,0.645282993,0.073622537,0.441268705,0.624076479,-0.13938578,-0.069836321,0.061666012,0.600173102,1.158947168,0.387666292,4.63829746,-1.008956998,0.306699325,0.692763853,0.112823552,0.499161274
12,120.34,40.1,0.164215908,0.306985022,0.127938455,0.426782743,0.48248806,0.571699024,0.130523828,0.354549605,0.870274389,0.537129907,0.011835231,0.222304017,0.079999739,0.089422458,0.186402484,-0.076685871,0.580822747,0.061263726,0.411673724,0.560782025,-0.12417221,-0.075188292,0.055705317,0.538728805,1.130523828,0.41675797,3.771251269,-4.964638914,0.298052032,0.662062621,0.091256386,0.460199121
23,74.52,49.3,0.159957172,0.228128416,0.115652801,0.339908066,0.419972173,0.840946347,0.235546361,0.304319373,0.832192033,0.358612452,0.039460775,0.296009232,0.114478205,0.157537721,0.357022199,-0.045567397,0.56815755,0.105364114,0.327172079,0.533275009,-0.160750249,-0.105493589,0.080064108,0.492261917,1.235546361,0.50696359,3.631318667,-1.489887204,0.329280795,0.637359597,0.149477922,0.437476204
24,118.9,52.7,0.211237055,0.297591613,0.165361812,0.418639576,0.487075442,0.636724362,0.163472041,0.32171363,0.898673158,0.324217509,-0.021842691,0.241483096,0.096826264,0.111139347,0.270200845,-0.065027582,0.493095127,0.075560043,0.285622254,0.465038357,-0.121814608,-0.094185088,0.068435866,0.433693771,1.163472041,0.55566691,2.945513458,-12.05215649,0.309215174,0.606494182,0.10489264,0.395985818
25,116.7,51.4,0.195405777,0.242670914,0.143598678,0.368311465,0.436554347,0.798956205,0.185285791,0.292955669,0.879637833,0.251579113,-0.001740556,0.285447912,0.093412186,0.125339511,0.303689354,-0.07372721,0.504962754,0.084787899,0.25648469,0.474027943,-0.152821294,-0.118672738,0.068242881,0.438969203,1.185285791,0.591742435,3.040100046,-2.700552625,0.314693424,0.602893575,0.117629105,0.395804191
26,131.56,51.9,0.216413442,0.247502585,0.148529014,0.384526704,0.445797749,0.801184216,0.159341455,0.297268735,1.04104498,0.212366342,-0.01991646,0.286016254,0.080760549,0.108434659,0.25962561,-0.093547664,0.500177265,0.07379169,0.249913318,0.473012872,-0.186014061,-0.152276292,0.061271044,0.442726121,1.159341455,0.600110961,3.001418626,-11.36238932,0.30671541,0.602077831,0.103093194,0.394084831
30,122.18,54.1,0.213239801,0.29652691,0.161971314,0.412011242,0.460445833,0.552796112,0.117556478,0.298474519,0.895808523,0.324297117,-0.050835127,0.216545344,0.070870425,0.08078469,0.193707425,-0.08066089,0.479540964,0.055515156,0.293470266,0.458470898,-0.136639039,-0.111345315,0.048434591,0.435622869,1.117556478,0.546228045,2.842761601,-153.3480232,0.293150506,0.592123627,0.077816928,0.381477476
31,119.44,52.2,0.149788887,0.247818338,0.112364251,0.394024667,0.454100507,0.832392678,0.152467208,0.341736256,0.850200704,0.457836463,0.066329423,0.293883219,0.07664256,0.103922162,0.213291742,-0.104638271,0.603278934,0.070833696,0.376070611,0.581064021,-0.142758678,-0.082414873,0.060075841,0.556213624,1.152467208,0.453413789,4.041325435,-1.355046416,0.304707644,0.66855604,0.106053977,0.470409957
58,119.8,45.6,0.251171158,0.254878164,0.163489821,0.366685649,0.434715342,0.70558095,0.185525921,0.271225521,1.274866143,0.142031054,-0.075825531,0.260787226,0.098694283,0.125495056,0.334798669,-0.057772996,0.453398829,0.084888456,0.218440097,0.420444427,-0.211453069,-0.20169828,0.068029693,0.383261466,1.185525921,0.641443026,2.658974967,8.118417372,0.314703851,0.569764053,0.113723012,0.357720488
62,121.2,50.8,0.209879492,0.268871842,0.132121918,0.375735069,0.454071401,0.688802357,0.208488211,0.321949483,1.196470436,0.320430259,-0.026457259,0.25617441,0.115749072,0.140292341,0.32156036,-0.040201443,0.549220662,0.094403135,0.34102756,0.516943901,-0.227360388,-0.171245256,0.078336332,0.479688488,1.208488211,0.491393659,3.436760582,8.92776083,0.322546641,0.635018004,0.133635662,0.431455863
65,122.62,57.6,0.251630727,0.289897061,0.156601125,0.411389933,0.484269883,0.670489109,0.177155405,0.327668758,1.52646552,0.245745831,-0.055817932,0.251073523,0.102452636,0.120063139,0.286040627,-0.061196015,0.511286598,0.081370124,0.298536343,0.481823015,-0.232783407,-0.196232731,0.07287995,0.448578906,1.177155405,0.540195629,3.092378053,3.327855378,0.313613953,0.617807185,0.113720155,0.409140491
76,108.9,42.6,0.286335463,0.329886854,0.202517166,0.43273262,0.484819279,0.469653227,0.120366843,0.282302113,1.277601784,0.208761251,-0.119344299,0.190169705,0.081027688,0.082661136,0.226251793,-0.06118881,0.410718964,0.05676699,0.239235023,0.387511645,-0.171459233,-0.172885651,0.052086659,0.362401466,1.120366843,0.613898868,2.393966341,2.406510827,0.294611858,0.551174796,0.075780442,0.333164134
83,80.46,46.1,0.248500877,0.207759162,0.162371053,0.308809786,0.391999055,0.886795514,0.269386763,0.229628002,1.14249881,0.007510768,-0.075756316,0.307190277,0.123304443,0.178822431,0.568082412,-0.030062065,0.414214256,0.118704651,0.122627408,0.366697272,-0.209626936,-0.219719467,0.083189269,0.310790934,1.269386763,0.781534982,2.414217606,-12.06952614,0.337493159,0.535475554,0.150060885,0.321441224
86,87.94,39.7,0.276669194,0.2464799,0.192030563,0.350129781,0.426546332,0.730552194,0.218252072,0.234515769,1.163940644,0.033921607,-0.10171973,0.26754742,0.11380142,0.1465389,0.48334553,-0.039508508,0.379121449,0.098389212,0.124168843,0.338246223,-0.180581768,-0.198427755,0.07641655,0.291609705,1.218252072,0.779092182,2.221241895,15.04002887,0.32443102,0.520000008,0.123536057,0.301210799
98,66.2,38.6,0.206388642,0.167260711,0.131357751,0.271624364,0.370861537,1.217266297,0.365347099,0.239503787,0.979816891,-0.006385991,-0.003744493,0.378354225,0.142079772,0.237551744,0.707489624,-0.01631009,0.476890857,0.154458134,0.12023021,0.419542434,-0.222151569,-0.202315106,0.099237173,0.34807156,1.365347099,0.785347318,2.823293906,-2.541035692,0.361191867,0.568396231,0.197597296,0.361668394
100,78.78,35.6,0.18363342,0.201552141,0.126993367,0.339210276,0.439257758,1.179375301,0.29494237,0.312264391,0.947441687,0.180557007,0.065586312,0.370945607,0.127424456,0.19469342,0.471439734,-0.054031112,0.551459197,0.128518421,0.226935909,0.507994457,-0.182341174,-0.128944912,0.100047483,0.455202166,1.29494237,0.630076995,3.458903149,-1.862114983,0.347278165,0.632559216,0.176683945,0.429967514
110,78.96,29,0.185951912,0.157174056,0.133944702,0.252345342,0.340211187,1.164550531,0.34819682,0.206266485,0.688252327,-0.011630354,-0.004265509,0.367998716,0.131105653,0.227225754,0.742106171,-0.018450814,0.435018293,0.148282638,0.079793397,0.377324261,-0.162575057,-0.152867431,0.087865845,0.306507097,1.34819682,0.852206177,2.539937621,-1.049049711,0.354284808,0.53483713,0.185310037,0.325261484
